,ArrayNostre,GSE13432_7d,GSE13432_35d,GSE51080_10d,GSE55934_Adre_10d,GSE98132_Adre_3d,GSE108077_7d,GSE110420_10d
Cp,0,1,1,0,1,1,1,0
Comp,0,0,0,0,0,1,1,0
Pcsk6,0,0,0,0,0,1,0,0
Slc22a18,0,0,0,0,1,1,1,0
Omd,0,0,0,0,0,1,0,0
Skint3,0,0,0,0,0,1,0,0
Loxl4,0,0,0,0,0,1,0,0
Mpp4,0,0,0,0,0,1,1,0
Mfap5,0,0,0,0,1,1,0,0
AW551984,0,0,0,0,0,1,0,0
Ston2,0,0,0,0,0,1,0,0
Ifi27l2a,0,0,0,0,1,1,1,0
Gm18009,0,0,0,0,0,1,1,0
Scg3,0,0,0,0,0,1,0,0
Cdc42ep1,0,0,0,0,0,1,1,0
Pxdc1,0,0,0,0,1,1,1,0
Peg3,0,0,0,0,1,1,1,0
Pcolce2,0,1,0,0,0,1,0,0
Aqp1,0,0,0,0,1,1,1,0
Sfrp4,1,0,0,0,0,1,1,0
Gjc1,0,0,0,0,0,1,1,0
Cpa2,0,0,0,0,0,1,0,0
Ak8,0,0,0,0,0,1,0,0
Prokr1,0,0,0,0,0,1,0,0
1700024P16Rik,0,0,0,0,1,1,0,0
Islr2,0,0,0,0,0,1,0,0
Slc8a1,0,0,0,1,0,1,1,0
Cdsn,0,0,0,0,0,1,1,0
Adamtsl4,0,0,0,0,0,1,1,0
Lilra6,0,0,1,0,0,1,0,0
Vnn1,0,0,0,0,1,1,1,1
Kirrel3,0,0,0,0,0,1,0,0
Chst1,0,0,0,0,1,1,1,0
Tmem43,0,0,0,0,1,1,1,0
Prelp,0,0,0,0,1,1,0,0
Dusp9,0,0,0,0,0,1,1,0
Plppr3,0,0,0,0,0,1,1,0
Opn3,0,0,0,0,0,1,1,0
Cfd,0,0,0,0,1,1,1,0
Adra1b,0,0,0,0,1,1,0,0
St6galnac5,0,0,0,1,0,1,1,1
Podn,0,0,0,0,0,1,1,0
Slit3,0,0,0,0,1,1,1,0
Cyp2f2,0,0,0,0,1,1,1,0
Fcrls,1,0,0,0,0,1,0,0
Fn1,0,1,0,0,1,1,0,0
Kcnn3,0,0,0,0,0,1,0,0
Cntfr,1,0,0,0,0,1,1,0
Lyz1,0,0,0,0,0,1,0,0
Dpt,0,0,0,0,1,1,1,0
Cacng7,0,0,0,0,0,1,1,0
Bmp3,0,0,0,0,0,1,1,0
Dact2,0,0,0,0,0,1,1,0
Glt8d2,1,0,0,0,0,1,1,0
Scel,0,0,0,0,0,1,0,0
Morn4,0,0,0,0,0,1,0,0
Gsn,0,0,0,0,1,1,1,0
Sntg2,0,0,0,0,1,1,1,1
Synpo2,0,0,0,0,1,1,1,0
Inhbb,0,0,0,0,0,1,1,0
Ankrd29,0,0,0,0,0,1,1,1
Vgll3,0,0,0,1,0,1,1,1
C2,0,1,0,0,1,1,1,0
Ptchd4,0,0,0,0,0,1,0,0
Lrrn3,0,0,0,0,0,1,1,0
Gm8797,0,0,0,0,0,1,1,0
Adora2b,0,0,0,0,0,1,0,0
Alb,0,0,0,0,1,1,0,0
Bpifb6,0,0,0,0,0,1,0,0
Gm28230,0,0,0,0,0,1,0,0
Gstt1,0,0,0,0,1,1,1,0
Tm4sf5,0,0,0,0,0,1,0,0
Chrna5,0,0,0,0,0,1,1,0
C7,0,0,0,0,1,1,0,1
Timp4,0,0,0,0,1,1,1,0
Smim5,0,0,0,0,0,1,0,0
Mturn,0,1,0,0,1,1,1,0
Eepd1,0,1,0,0,0,1,1,1
Hp,0,0,1,0,1,1,1,0
Hepacam2,0,0,0,0,0,1,0,0
Serpina3i,1,0,0,0,0,1,1,0
Ptgfr,0,0,0,0,0,1,1,0
Serpina3n,0,0,0,0,1,1,1,0
Ccdc80,0,1,1,0,1,1,1,0
Endou,0,0,0,0,0,1,1,0
Adamts5,1,1,0,0,1,1,1,1
Dmkn,0,0,0,0,0,1,0,0
Ntrk2,0,0,0,0,1,1,1,0
Igfbp2,0,0,0,0,1,1,0,0
Adamts16,0,0,0,0,0,1,0,1
Gm5578,0,0,0,0,0,1,0,0
Galnt9,0,0,0,0,0,1,0,0
Kcne1l,0,0,0,0,0,1,0,0
Klf14,0,0,0,0,0,1,1,0
Sncg,0,1,0,0,1,1,1,0
Grb14,0,0,0,0,0,1,0,0
Thbd,0,1,0,0,1,1,1,1
Emp1,0,1,1,0,1,1,1,1
Vat1l,0,0,0,0,1,1,0,0
C4b,0,1,0,0,1,1,1,1
Sfrp5,0,0,0,0,0,1,0,1
Rgsl1,0,0,0,0,0,1,0,0
Lbp,0,0,1,0,1,1,1,0
Npr3,0,0,0,0,1,1,1,0
Stra6,0,0,0,0,0,1,0,0
Cd300ld2,0,0,0,0,0,1,0,0
Slc2a13,0,1,0,0,0,1,1,0
Prtn3,0,1,0,0,0,1,1,0
Mest,0,0,1,0,0,1,1,0
